first,next,count
n,u,0.0006250434057920689
i,a,0.0006151220818906075
y,p,0.0006151220818906075
r,l,0.0005952794340876846
u,m,0.0005952794340876846
f,",",0.0005952794340876846
m,",",0.0005952794340876846
l,k,0.0005952794340876846
g,t,0.0005952794340876846
n,n,0.0005853581101862232
l,s,0.0005754367862847618
c,i,0.0005754367862847618
i,b,0.0005655154623833004
l,t,0.0005655154623833004
s,n,0.000555594138481839
o,e,0.0005357514906789162
d,n,0.0005258301667774548
m,s,0.0005059875189745319
g,.,0.0005059875189745319
s,c,0.0005059875189745319
w,",",0.0005059875189745319
k,",",0.0005059875189745319
o,b,0.0004960661950730705
h,y,0.0004960661950730705
s,k,0.0004861448711716091
y,s,0.0004762235472701477
x,t,0.0004663022233686863
p,y,0.0004563808994672249
o,h,0.0004563808994672249
d,y,0.0004563808994672249
u,b,0.00043653825166430207
y,t,0.00043653825166430207
t,c,0.00043653825166430207
w,.,0.00041669560386137927
f,l,0.00041669560386137927
f,.,0.00041669560386137927
e,b,0.00040677427995991787
p,s,0.00040677427995991787
o,g,0.00040677427995991787
w,r,0.0003968529560584564
e,h,0.0003670889843540722
s,w,0.0003571676604526108
c,c,0.0003571676604526108
e,o,0.00034724633655114936
b,s,0.00033732501264968796
u,a,0.00033732501264968796
v,a,0.00033732501264968796
d,g,0.00033732501264968796
w,l,0.00031748236484676517
z,e,0.00030756104094530377
u,",",0.00030756104094530377
x,p,0.00030756104094530377
n,f,0.00030756104094530377
x,e,0.0002777970692409195
w,s,0.0002777970692409195
y,r,0.0002777970692409195
d,v,0.0002678757453394581
i,p,0.0002678757453394581
a,h,0.0002678757453394581
x,i,0.0002678757453394581
s,m,0.0002678757453394581
i,z,0.0002678757453394581
k,.,0.00025795442143799666
p,",",0.00024803309753653526
k,l,0.00022819044973361246
m,m,0.00021826912583215103
o,a,0.00021826912583215103
n,v,0.00020834780193068963
l,.,0.00020834780193068963
o,y,0.00020834780193068963
m,.,0.0001984264780292282
r,h,0.0001984264780292282
h,.,0.0001885051541277668
g,g,0.0001785838302263054
i,i,0.00016866250632484398
n,x,0.00016866250632484398
r,f,0.00016866250632484398
m,n,0.00016866250632484398
j,o,0.00016866250632484398
w,w,0.00015874118242338258
x,c,0.00015874118242338258
l,p,0.00014881985852192116
l,w,0.00014881985852192116
a,",",0.00013889853462045976
o,.,0.00013889853462045976
u,z,0.00013889853462045976
z,z,0.00013889853462045976
z,l,0.00013889853462045976
y,b,0.00013889853462045976
e,k,0.00013889853462045976
y,a,0.00013889853462045976
e,z,0.00013889853462045976
w,d,0.00012897721071899833
b,t,0.00012897721071899833
t,n,0.00012897721071899833
t,p,0.00011905588681753693
o,q,0.00011905588681753693
r,w,0.00011905588681753693
l,v,0.00011905588681753693
g,n,0.00011905588681753693
x,a,0.00011905588681753693
a,x,0.00011905588681753693
a,j,0.00011905588681753693
p,g,0.00010913456291607552
d,b,0.00010913456291607552
s,y,0.00010913456291607552
r,v,0.00010913456291607552
i,x,0.00010913456291607552
z,i,0.00010913456291607552
o,x,0.00010913456291607552
t,f,0.00010913456291607552
e,q,0.00010913456291607552
k,a,9.92132390146141e-05
c,y,9.92132390146141e-05
m,f,9.92132390146141e-05
u,o,9.92132390146141e-05
d,f,9.92132390146141e-05
l,m,8.92919151131527e-05
b,j,8.92919151131527e-05
k,y,8.92919151131527e-05
y,m,8.92919151131527e-05
j,a,7.937059121169129e-05
p,.,7.937059121169129e-05
n,w,7.937059121169129e-05
i,.,7.937059121169129e-05
h,s,7.937059121169129e-05
u,v,7.937059121169129e-05
y,n,6.944926731022988e-05
z,a,6.944926731022988e-05
a,.,6.944926731022988e-05
i,u,6.944926731022988e-05
y,w,5.9527943408768465e-05
s,r,5.9527943408768465e-05
y,l,5.9527943408768465e-05
h,l,5.9527943408768465e-05
s,q,5.9527943408768465e-05
f,y,5.9527943408768465e-05
n,q,5.9527943408768465e-05
u,.,5.9527943408768465e-05
e,u,4.960661950730705e-05
g,d,4.960661950730705e-05
d,w,4.960661950730705e-05
l,r,4.960661950730705e-05
a,z,4.960661950730705e-05
w,f,4.960661950730705e-05
r,b,4.960661950730705e-05
u,f,4.960661950730705e-05
h,m,4.960661950730705e-05
v,y,3.9685295605845646e-05
c,.,3.9685295605845646e-05
a,o,3.9685295605845646e-05
m,l,3.9685295605845646e-05
d,h,3.9685295605845646e-05
t,g,3.9685295605845646e-05
h,b,3.9685295605845646e-05
y,d,3.9685295605845646e-05
l,b,3.9685295605845646e-05
n,h,3.9685295605845646e-05
h,n,3.9685295605845646e-05
x,",",3.9685295605845646e-05
k,h,2.9763971704384233e-05
p,b,2.9763971704384233e-05
n,p,2.9763971704384233e-05
l,c,2.9763971704384233e-05
b,",",2.9763971704384233e-05
g,p,2.9763971704384233e-05
w,b,2.9763971704384233e-05
n,j,2.9763971704384233e-05
h,f,2.9763971704384233e-05
y,f,2.9763971704384233e-05
s,b,2.9763971704384233e-05
p,m,2.9763971704384233e-05
p,d,1.9842647802922823e-05
d,p,1.9842647802922823e-05
m,h,1.9842647802922823e-05
k,d,1.9842647802922823e-05
c,",",1.9842647802922823e-05
m,c,1.9842647802922823e-05
l,g,1.9842647802922823e-05
v,.,1.9842647802922823e-05
x,.,1.9842647802922823e-05
i,",",1.9842647802922823e-05
g,f,1.9842647802922823e-05
z,y,1.9842647802922823e-05
f,p,1.9842647802922823e-05
h,j,1.9842647802922823e-05
s,g,1.9842647802922823e-05
n,r,1.9842647802922823e-05
y,y,1.9842647802922823e-05
g,b,1.9842647802922823e-05
t,d,1.9842647802922823e-05
b,.,1.9842647802922823e-05
a,e,1.9842647802922823e-05
w,y,9.921323901461411e-06
f,c,9.921323901461411e-06
f,g,9.921323901461411e-06
y,c,9.921323901461411e-06
a,a,9.921323901461411e-06
o,z,9.921323901461411e-06
q,.,9.921323901461411e-06
v,u,9.921323901461411e-06
k,t,9.921323901461411e-06
b,m,9.921323901461411e-06
d,j,9.921323901461411e-06
g,z,9.921323901461411e-06
b,d,9.921323901461411e-06
k,o,9.921323901461411e-06
y,v,9.921323901461411e-06
d,k,9.921323901461411e-06
k,j,9.921323901461411e-06
s,d,9.921323901461411e-06
g,y,9.921323901461411e-06
d,m,9.921323901461411e-06
h,d,9.921323901461411e-06
j,c,9.921323901461411e-06
k,r,9.921323901461411e-06
g,m,9.921323901461411e-06
d,t,9.921323901461411e-06
",",i,9.921323901461411e-06
u,w,9.921323901461411e-06
t,v,9.921323901461411e-06
t,x,9.921323901461411e-06
k,c,9.921323901461411e-06
b,n,9.921323901461411e-06
